IDP_type	IDP	model_name	Spearman	Pearson	R2	is_kept
dMRI	IDP-25283	ridge	0.145762056547797	0.149779118703115	0.022226327784123	TRUE
dMRI	IDP-25284	ridge	0.100572671168333	0.101348853729284	0.0101337047374743	TRUE
dMRI	IDP-25285	ridge	0.10214383944091	0.102306643335714	0.0104476423767389	TRUE
dMRI	IDP-25286	ridge	0.106867104345643	0.104603799744722	0.0108720509556852	TRUE
dMRI	IDP-25287	ridge	0.110316077622062	0.111371321948134	0.012399001713854	TRUE
dMRI	IDP-25288	ridge	0.158931793070539	0.164273414907608	0.0269794251500756	TRUE
dMRI	IDP-25289	ridge	0.149913474859293	0.151899820525253	0.0228455969016923	TRUE
dMRI	IDP-25290	ridge	0.0680006819284161	0.066696282252121	0.00439748944252871	FALSE
dMRI	IDP-25291	ridge	0.0642001924411516	0.0591990718105883	0.00332843003992001	FALSE
dMRI	IDP-25292	ridge	0.134003051588354	0.137332372370384	0.0187781741566793	TRUE
dMRI	IDP-25293	ridge	0.125797744064924	0.126514439535852	0.0160043231050297	TRUE
dMRI	IDP-25294	ridge	0.134486191092497	0.133656586316796	0.0178370967481027	TRUE
dMRI	IDP-25295	ridge	0.126233072226948	0.127675507723496	0.0162994394901577	TRUE
dMRI	IDP-25296	ridge	0.100587802083848	0.102668755254736	0.0104446760712614	TRUE
dMRI	IDP-25297	ridge	0.0682721780434987	0.0698179100453745	0.00476896674227301	FALSE
dMRI	IDP-25298	ridge	0.163075395138198	0.166742278706517	0.0278019078381766	TRUE
dMRI	IDP-25299	ridge	0.170586009919851	0.17259672577371	0.0297608003792647	TRUE
dMRI	IDP-25300	ridge	0.112023882462961	0.11302653239122	0.0127722262116384	TRUE
dMRI	IDP-25301	ridge	0.121152572223507	0.12188900972494	0.0148133220194031	TRUE
dMRI	IDP-25302	ridge	0.0443821715146387	0.0424483711358735	0.0017999916976621	FALSE
dMRI	IDP-25303	ridge	0.0462200464863342	0.0482856615405342	0.00231015219333708	FALSE
dMRI	IDP-25304	ridge	0.0608047642077519	0.0615380717466325	0.00377824196020049	FALSE
dMRI	IDP-25305	ridge	0.05353546889997	0.0540784827146968	0.00290300283047962	FALSE
dMRI	IDP-25306	ridge	0.117365907717302	0.116934765481634	0.0136616995347165	TRUE
dMRI	IDP-25307	ridge	0.0972002992158401	0.0977398252648983	0.00950093885120951	FALSE
dMRI	IDP-25308	ridge	0.170568301709905	0.174269157410662	0.0303468692202837	TRUE
dMRI	IDP-25309	ridge	0.168585573829636	0.173668810501601	0.0301236922358714	TRUE
dMRI	IDP-25310	ridge	0.0702269717670209	0.0691337062537632	0.0046764685038988	FALSE
dMRI	IDP-25311	ridge	0.0704875071865249	0.0717313388775694	0.00497940724660995	FALSE
dMRI	IDP-25312	ridge	0.120469443083285	0.121171279837296	0.0146242989821856	TRUE
dMRI	IDP-25313	ridge	0.118361976189712	0.119935909758398	0.0143572407906496	TRUE
dMRI	IDP-25314	ridge	0.12038731334346	0.124216124116634	0.0154273655356492	TRUE
dMRI	IDP-25315	ridge	0.106277636346267	0.108416177152188	0.0117186847548156	TRUE
dMRI	IDP-25316	ridge	0.0698480233470288	0.066627438734914	0.00437889270927461	FALSE
dMRI	IDP-25317	ridge	0.0630242988663746	0.0633277444041163	0.00399046915608092	FALSE
dMRI	IDP-25318	ridge	0.130049710787593	0.133468939650763	0.0175926270568851	TRUE
dMRI	IDP-25319	ridge	0.138597584209303	0.1429728340921	0.0202292324438746	TRUE
dMRI	IDP-25320	ridge	0.161899353285344	0.162667095063945	0.0264429572324052	TRUE
dMRI	IDP-25321	ridge	0.134788599540712	0.136090280129882	0.0183878066416195	TRUE
dMRI	IDP-25322	ridge	0.116330321344754	0.115521909892191	0.0133449702306144	TRUE
dMRI	IDP-25323	ridge	0.115746752433777	0.114073027574438	0.0130121807597393	TRUE
dMRI	IDP-25324	ridge	0.0948746394714284	0.0919084708207625	0.00827043953935591	FALSE
dMRI	IDP-25325	ridge	0.109917866610055	0.108705720313396	0.0117943107325101	TRUE
dMRI	IDP-25326	ridge	0.0994395342877842	0.10052625079647	0.00992429835354258	FALSE
dMRI	IDP-25327	ridge	0.0921778512697988	0.0929961607334398	0.00848995296660282	FALSE
dMRI	IDP-25328	ridge	0.115082380579621	0.119712343899605	0.0143049549887702	TRUE
dMRI	IDP-25329	ridge	0.109483191720976	0.112027635209765	0.0125488975354557	TRUE
dMRI	IDP-25330	ridge	0.110976163158109	0.112420641758671	0.012637737845141	TRUE
dMRI	IDP-25331	ridge	0.110316729970017	0.11004001168724	0.0120988826594224	TRUE
dMRI	IDP-25332	ridge	0.102081512723077	0.103812398111836	0.0106994514688744	TRUE
dMRI	IDP-25333	ridge	0.0873350733801928	0.0883399076884281	0.00753630994837751	FALSE
dMRI	IDP-25334	ridge	0.0711757464583418	0.068852877749576	0.00464992689848465	FALSE
dMRI	IDP-25335	ridge	0.0651162723714166	0.0660051871729307	0.00422057577232027	FALSE
dMRI	IDP-25336	ridge	0.112493475178554	0.113745822937008	0.0129377190645495	TRUE
dMRI	IDP-25337	ridge	0.108217779001964	0.11258166702189	0.0126739277810242	TRUE
dMRI	IDP-25338	ridge	0.0831351231728027	0.081972532366601	0.00621145000579892	FALSE
dMRI	IDP-25339	ridge	0.0905924690897611	0.0868668394925774	0.00726699295314703	FALSE
dMRI	IDP-25340	ridge	0.112059339783735	0.115020806955085	0.0132286449174429	TRUE
dMRI	IDP-25341	ridge	0.107853148018966	0.108711445099275	0.0117822999117959	TRUE
dMRI	IDP-25342	ridge	0.117433081529695	0.117957122349356	0.0139062014639115	TRUE
dMRI	IDP-25343	ridge	0.113433554739771	0.117436624165968	0.0137798762389563	TRUE
dMRI	IDP-25344	ridge	0.163761816528829	0.168768362673056	0.028481335912673	TRUE
dMRI	IDP-25345	ridge	0.0964026627513127	0.0950885542930249	0.00868469740723643	FALSE
dMRI	IDP-25346	ridge	0.227498751615293	0.237850852517256	0.0562818018501741	TRUE
dMRI	IDP-25347	ridge	0.2006515867282	0.205975746172635	0.0422613888125597	TRUE
dMRI	IDP-25348	ridge	0.162917675924064	0.16852114505287	0.0283991196659553	TRUE
dMRI	IDP-25349	ridge	0.0833630337236706	0.0878059339344217	0.00741850697715751	FALSE
dMRI	IDP-25350	ridge	0.0640041558727442	0.0635442135659856	0.00402226137950845	FALSE
dMRI	IDP-25351	ridge	0.0681831580446651	0.0696347864838845	0.00475847616835123	FALSE
dMRI	IDP-25352	ridge	0.0829247210910402	0.0827353734317636	0.00638289212396614	FALSE
dMRI	IDP-25353	ridge	0.0821690633441671	0.0791636290628297	0.00624110961625224	FALSE
dMRI	IDP-25354	ridge	0.133777266861854	0.139560289558964	0.0193866914276993	TRUE
dMRI	IDP-25355	ridge	0.145764837355639	0.148869323578178	0.0221603769824024	TRUE
dMRI	IDP-25356	ridge	0.169195549139482	0.17565847142849	0.0308070722583556	TRUE
dMRI	IDP-25357	ridge	0.168785233639637	0.176080724437355	0.030950266462543	TRUE
dMRI	IDP-25358	ridge	0.140407729941238	0.144271427609464	0.0207866846919217	TRUE
dMRI	IDP-25359	ridge	0.15845816554657	0.161628218283097	0.0261182620172411	TRUE
dMRI	IDP-25360	ridge	0.152457947794224	0.161218007027687	0.0259572420143248	TRUE
dMRI	IDP-25361	ridge	0.148135500553831	0.154335715628123	0.0236313360019242	TRUE
dMRI	IDP-25362	ridge	0.133924137923024	0.138820769288114	0.0189980221823873	TRUE
dMRI	IDP-25363	ridge	0.140912830678758	0.146397274380771	0.0211162862504365	TRUE
dMRI	IDP-25364	ridge	0.123618145607246	0.124896664915028	0.0155989404902854	TRUE
dMRI	IDP-25365	ridge	0.124266794751339	0.127739502167818	0.0161537982265506	TRUE
dMRI	IDP-25366	ridge	0.170516205322054	0.176174825284362	0.030977777991821	TRUE
dMRI	IDP-25367	ridge	0.153023884371641	0.158623532619052	0.0250990534740815	TRUE
dMRI	IDP-25368	ridge	0.163842355191476	0.165138453119087	0.0272638067344084	TRUE
dMRI	IDP-25369	ridge	0.158964054610481	0.159643034321711	0.0254324057186468	TRUE
dMRI	IDP-25370	ridge	0.143533104866082	0.144209775434339	0.0206730681309277	TRUE
dMRI	IDP-25371	ridge	0.160825928447393	0.162903693941098	0.0265368263134295	TRUE
dMRI	IDP-25372	ridge	0.106021939629578	0.106760482987963	0.0113497802816102	TRUE
dMRI	IDP-25373	ridge	0.114822335029217	0.114017016211866	0.0129996954305296	TRUE
dMRI	IDP-25374	ridge	0.1445513504138	0.148817266212681	0.0218102036032176	TRUE
dMRI	IDP-25375	ridge	0.115798133081761	0.119734570558945	0.0140468488855069	TRUE
dMRI	IDP-25376	ridge	0.162154830762971	0.168787167694095	0.0284802951099922	TRUE
dMRI	IDP-25377	ridge	0.171354004237861	0.177143820306203	0.0313781259596209	TRUE
dMRI	IDP-25378	ridge	0.135243610413356	0.142863347224535	0.0203858081016576	TRUE
dMRI	IDP-25379	ridge	0.141332722543342	0.151770784936845	0.0228526726531152	TRUE
dMRI	IDP-25380	ridge	0.150746030032416	0.153001814306411	0.0232296214350647	TRUE
dMRI	IDP-25381	ridge	0.133663234565556	0.135120159973102	0.0182075527943825	TRUE
dMRI	IDP-25382	ridge	0.124120391153229	0.128068687894454	0.0163995155351127	TRUE
dMRI	IDP-25383	ridge	0.14979069746942	0.151000338824342	0.0225816582474045	TRUE
dMRI	IDP-25384	ridge	0.148416068421652	0.15052016006537	0.0226092594761648	TRUE
