ukb_field	n2018_id
25357	IDP_dMRI_TBSS_ICVF_Superior_cerebellar_peduncle_L
25358	IDP_dMRI_TBSS_ICVF_Cerebral_peduncle_R
25359	IDP_dMRI_TBSS_ICVF_Cerebral_peduncle_L
25360	IDP_dMRI_TBSS_ICVF_Anterior_limb_of_internal_capsule_R
25361	IDP_dMRI_TBSS_ICVF_Anterior_limb_of_internal_capsule_L
25362	IDP_dMRI_TBSS_ICVF_Posterior_limb_of_internal_capsule_R
25363	IDP_dMRI_TBSS_ICVF_Posterior_limb_of_internal_capsule_L
25364	IDP_dMRI_TBSS_ICVF_Retrolenticular_part_of_internal_capsule_R
25365	IDP_dMRI_TBSS_ICVF_Retrolenticular_part_of_internal_capsule_L
25366	IDP_dMRI_TBSS_ICVF_Anterior_corona_radiata_R
25367	IDP_dMRI_TBSS_ICVF_Anterior_corona_radiata_L
25368	IDP_dMRI_TBSS_ICVF_Superior_corona_radiata_R
25369	IDP_dMRI_TBSS_ICVF_Superior_corona_radiata_L
25370	IDP_dMRI_TBSS_ICVF_Posterior_corona_radiata_R
25371	IDP_dMRI_TBSS_ICVF_Posterior_corona_radiata_L
25372	IDP_dMRI_TBSS_ICVF_Posterior_thalamic_radiation_R
25373	IDP_dMRI_TBSS_ICVF_Posterior_thalamic_radiation_L
25374	IDP_dMRI_TBSS_ICVF_Sagittal_stratum_R
25375	IDP_dMRI_TBSS_ICVF_Sagittal_stratum_L
25376	IDP_dMRI_TBSS_ICVF_External_capsule_R
25377	IDP_dMRI_TBSS_ICVF_External_capsule_L
25378	IDP_dMRI_TBSS_ICVF_Cingulum_cingulate_gyrus_R
25379	IDP_dMRI_TBSS_ICVF_Cingulum_cingulate_gyrus_L
25380	IDP_dMRI_TBSS_ICVF_Cingulum_hippocampus_R
25381	IDP_dMRI_TBSS_ICVF_Cingulum_hippocampus_L
25382	IDP_dMRI_TBSS_ICVF_Fornix_cres+Stria_terminalis_R
25383	IDP_dMRI_TBSS_ICVF_Fornix_cres+Stria_terminalis_L
25384	IDP_dMRI_TBSS_ICVF_Superior_longitudinal_fasciculus_R
25385	IDP_dMRI_TBSS_ICVF_Superior_longitudinal_fasciculus_L
25386	IDP_dMRI_TBSS_ICVF_Superior_fronto-occipital_fasciculus_R
25387	IDP_dMRI_TBSS_ICVF_Superior_fronto-occipital_fasciculus_L
25388	IDP_dMRI_TBSS_ICVF_Uncinate_fasciculus_R
25389	IDP_dMRI_TBSS_ICVF_Uncinate_fasciculus_L
25390	IDP_dMRI_TBSS_ICVF_Tapetum_R
25391	IDP_dMRI_TBSS_ICVF_Tapetum_L
25392	IDP_dMRI_TBSS_OD_Middle_cerebellar_peduncle
25393	IDP_dMRI_TBSS_OD_Pontine_crossing_tract
25394	IDP_dMRI_TBSS_OD_Genu_of_corpus_callosum
25395	IDP_dMRI_TBSS_OD_Body_of_corpus_callosum
25396	IDP_dMRI_TBSS_OD_Splenium_of_corpus_callosum
25397	IDP_dMRI_TBSS_OD_Fornix
25398	IDP_dMRI_TBSS_OD_Corticospinal_tract_R
25399	IDP_dMRI_TBSS_OD_Corticospinal_tract_L
25400	IDP_dMRI_TBSS_OD_Medial_lemniscus_R
25401	IDP_dMRI_TBSS_OD_Medial_lemniscus_L
25402	IDP_dMRI_TBSS_OD_Inferior_cerebellar_peduncle_R
25403	IDP_dMRI_TBSS_OD_Inferior_cerebellar_peduncle_L
25404	IDP_dMRI_TBSS_OD_Superior_cerebellar_peduncle_R
25405	IDP_dMRI_TBSS_OD_Superior_cerebellar_peduncle_L
25406	IDP_dMRI_TBSS_OD_Cerebral_peduncle_R
25407	IDP_dMRI_TBSS_OD_Cerebral_peduncle_L
25408	IDP_dMRI_TBSS_OD_Anterior_limb_of_internal_capsule_R
25409	IDP_dMRI_TBSS_OD_Anterior_limb_of_internal_capsule_L
25410	IDP_dMRI_TBSS_OD_Posterior_limb_of_internal_capsule_R
25411	IDP_dMRI_TBSS_OD_Posterior_limb_of_internal_capsule_L
25412	IDP_dMRI_TBSS_OD_Retrolenticular_part_of_internal_capsule_R
25413	IDP_dMRI_TBSS_OD_Retrolenticular_part_of_internal_capsule_L
25414	IDP_dMRI_TBSS_OD_Anterior_corona_radiata_R
25415	IDP_dMRI_TBSS_OD_Anterior_corona_radiata_L
25416	IDP_dMRI_TBSS_OD_Superior_corona_radiata_R
25417	IDP_dMRI_TBSS_OD_Superior_corona_radiata_L
25418	IDP_dMRI_TBSS_OD_Posterior_corona_radiata_R
25419	IDP_dMRI_TBSS_OD_Posterior_corona_radiata_L
25420	IDP_dMRI_TBSS_OD_Posterior_thalamic_radiation_R
25421	IDP_dMRI_TBSS_OD_Posterior_thalamic_radiation_L
25422	IDP_dMRI_TBSS_OD_Sagittal_stratum_R
25423	IDP_dMRI_TBSS_OD_Sagittal_stratum_L
25424	IDP_dMRI_TBSS_OD_External_capsule_R
25425	IDP_dMRI_TBSS_OD_External_capsule_L
25426	IDP_dMRI_TBSS_OD_Cingulum_cingulate_gyrus_R
25427	IDP_dMRI_TBSS_OD_Cingulum_cingulate_gyrus_L
25428	IDP_dMRI_TBSS_OD_Cingulum_hippocampus_R
25429	IDP_dMRI_TBSS_OD_Cingulum_hippocampus_L
25430	IDP_dMRI_TBSS_OD_Fornix_cres+Stria_terminalis_R
25431	IDP_dMRI_TBSS_OD_Fornix_cres+Stria_terminalis_L
25432	IDP_dMRI_TBSS_OD_Superior_longitudinal_fasciculus_R
25433	IDP_dMRI_TBSS_OD_Superior_longitudinal_fasciculus_L
25434	IDP_dMRI_TBSS_OD_Superior_fronto-occipital_fasciculus_R
25435	IDP_dMRI_TBSS_OD_Superior_fronto-occipital_fasciculus_L
25436	IDP_dMRI_TBSS_OD_Uncinate_fasciculus_R
